Id;Numero;Bloc;Sp;mod;gf;NemPerGSoil;Anguinidae-Ditylenchus;Aphelenchidae;Aphelenchoididae;Aporcelaimidae;Cephalobidae;Dorylaimidae;Hoplolaimidae;Leptonchidae;Meloidogynidae;Monhysteridae;Mononchidae;Panagrolaimidae;Paratylenchidae;Plectidae;Pratylenchidae;Prismatolaimidae;Qudsianematidae;Rhabditidae;Telotylenchidae;Teratocephalidae;Tylenchidae
29A;29;A;M.s.;P+L;Legumes;2,704507808333708;0,0000;0,1450;0,0240;0,0000;0,5780;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0480;0,0000;0,0360;0,0000;0,0000;0,0000;0,0000;0,0480;0,0000;0,1200
30A;30;A;T.r.;P+L;Legumes;3,422599608099281;0,0000;0,0450;0,0180;0,0000;0,7730;0,0000;0,000;0,000;0,0910;0,0090;0,0000;0,0000;0,0090;0,0180;0,0000;0,0000;0,0000;0,0090;0,0090;0,0000;0,0180
32A;32;A;F.o.;L;Grass;3,464912280701755;0,0000;0,0125;0,0000;0,0000;0,7500;0,0125;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0125;0,0750;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0375
33A;33;A;A.o.;L;Grass;2,426289926289926;0,0000;0,0500;0,0125;0,0000;0,7625;0,0125;0,000;0,000;0,0000;0,0625;0,0000;0,0000;0,0125;0,0500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0375
34A;34;A;D.g.;L;Grass;5,089325927037982;0,0000;0,0250;0,0000;0,0000;0,7750;0,0000;0,000;0,000;0,0000;0,0375;0,0000;0,0000;0,0125;0,0750;0,0000;0,0125;0,0000;0,0375;0,0000;0,0000;0,0250
35A;35;A;H.l.;L;Grass;1,585165245999701;0,0000;0,0625;0,0125;0,0000;0,8000;0,0000;0,000;0,000;0,0000;0,0250;0,0000;0,0000;0,0000;0,0625;0,0000;0,0000;0,0000;0,0000;0,0125;0,0000;0,0250
36A;36;A;G.v.;L;Forb;2,440467386481290;0,0000;0,0090;0,0000;0,0000;0,8700;0,0090;0,000;0,000;0,0000;0,0090;0,0000;0,0000;0,0000;0,0560;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0460
36A;36;A;G.v.;L;Forb;2,440467386481290;0,0000;0,0110;0,0000;0,0000;0,8700;0,0110;0,000;0,000;0,0000;0,0110;0,0000;0,0000;0,0000;0,0560;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0400
38A;38;A;P.l.;L;Forb;3,085001640958320;0,0000;0,0375;0,0000;0,0000;0,7625;0,0125;0,000;0,000;0,0000;0,0625;0,0000;0,0000;0,0125;0,0500;0,0000;0,0000;0,0000;0,0250;0,0000;0,0000;0,0375
39A;39;A;C.n.;L;Forb;1,073529411764706;0,0000;0,0200;0,0000;0,0000;0,9000;0,0000;0,000;0,000;0,0000;0,0200;0,0000;0,0000;0,0000;0,0400;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0200
40A;40;A;R.a.;L;Forb;4,794520547945205;0,0000;0,0880;0,0250;0,0000;0,7630;0,0000;0,000;0,000;0,0000;0,0130;0,0000;0,0130;0,0000;0,0130;0,0130;0,0000;0,0000;0,0250;0,0130;0,0130;0,0250
41A;41;A;M.a.;L;Legumes;13,096525096525097;0,0000;0,0250;0,0125;0,0000;0,8750;0,0000;0,000;0,000;0,0000;0,0375;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0250;0,0000;0,0000;0,0250
42A;42;A;T.p.;L;Legumes;2,433167920601889;0,0000;0,0750;0,0125;0,0000;0,7375;0,0125;0,000;0,000;0,0000;0,0250;0,0000;0,0125;0,0000;0,0250;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0500
43A;43;A;L.c.;L;Legumes;3,753753753753754;0,0000;0,0000;0,0375;0,0000;0,6750;0,0000;0,000;0,000;0,0000;0,0875;0,0000;0,0000;0,0125;0,0125;0,0000;0,0125;0,0000;0,0750;0,0125;0,0000;0,0750
44A;44;A;M.s.;L;Legumes;4,190774042220485;0,0000;0,0375;0,0125;0,0000;0,8250;0,0125;0,000;0,000;0,0000;0,0250;0,0000;0,0000;0,0000;0,0250;0,0125;0,0000;0,0000;0,0125;0,0000;0,0000;0,0375
45A;45;A;T.r.;L;Legumes;2,539981185324554;0,0000;0,0000;0,0000;0,0000;0,7625;0,0250;0,000;0,000;0,0125;0,0750;0,0000;0,0000;0,0000;0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0500
46A;46;A; ;T;Temoins;2,606748760594915;0,0000;0,0000;0,0200;0,0000;0,9000;0,0400;0,000;0,000;0,0000;0,0200;0,0000;0,0000;0,0200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
47A;47;A; ;T;Temoins;5,603908993739501;0,0000;0,0200;0,0000;0,0000;0,8800;0,0200;0,000;0,000;0,0200;0,0200;0,0000;0,0000;0,0000;0,0200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0200
1B;1;B;N.s.;P;Grass;1,294685599187445;0,0000;0,1110;0,0000;0,0000;0,5560;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1110;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2220
2B;2;B;F.o.;P;Grass;3,922042495402504;0,0000;0,0000;0,0240;0,0000;0,7860;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,1070;0,0000;0,0000;0,0000;0,0000;0,0000;0,0240;0,0600;0,0000;0,0000
3B;3;B;A.o.;P;Grass;1,695786228160329;0,0000;0,0310;0,0000;0,0000;0,8150;0,0310;0,000;0,000;0,0000;0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0460;0,0150;0,0460;0,0000;0,0000
4B;4;B;D.g.;P;Grass;3,994847839343156;0,0000;0,0000;0,0290;0,0000;0,6570;0,0000;0,000;0,000;0,0000;0,0430;0,0000;0,0290;0,0000;0,0140;0,0860;0,0430;0,0000;0,0570;0,0290;0,0000;0,0140
5B;5;B;H.l.;P;Grass;3,134495288610173;0,0000;0,0000;0,0150;0,0000;0,8510;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0150;0,0000;0,0300;0,0000;0,0000;0,0150;0,0150;0,0000;0,0600
6B;6;B;G.v.;P;Forb;9,196427971778794;0,0000;0,0000;0,0430;0,0000;0,8550;0,0000;0,000;0,000;0,0000;0,0580;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0430
7B;7;B;C.r.;P;Forb;1,562333621713061;0,0000;0,0000;0,0470;0,0000;0,4880;0,0000;0,000;0,000;0,0000;0,1630;0,0000;0,0000;0,0000;0,0700;0,0000;0,0230;0,0000;0,0230;0,0000;0,0000;0,1860
8B;8;B;P.l.;P;Forb;3,972751298357265;0,0000;0,0000;0,0000;0,0000;0,6360;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0910;0,0000;0,0000;0,0000;0,0000;0,0000;0,0910;0,0000;0,0000;0,1820
9B;9;B;C.n.;P;Forb;4,360224588272678;0,0000;0,0280;0,0000;0,0000;0,3460;0,0000;0,009;0,000;0,0000;0,0000;0,0000;0,1030;0,0190;0,0190;0,0190;0,0000;0,0000;0,3460;0,0090;0,0000;0,1030
10B;10;B;R.a.;P;Forb;1,947871071546814;0,0000;0,0000;0,0000;0,0000;0,6360;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3640;0,0000;0,0000;0,0000;0,0000;0,0000
11B;11;B;M.a.;P;Legumes;1,902949061152025;0,0000;0,1270;0,0130;0,0000;0,5950;0,0000;0,000;0,000;0,0000;0,0130;0,0000;0,0630;0,0000;0,0000;0,0250;0,0250;0,0000;0,0760;0,0000;0,0000;0,0630
12B;12;B;T.p.;P;Legumes;2,186617942921278;0,0000;0,0000;0,0450;0,0000;0,7730;0,0000;0,000;0,000;0,0230;0,0230;0,0000;0,0000;0,0000;0,0230;0,0230;0,0000;0,0000;0,0230;0,0000;0,0000;0,0680
13B;13;B;L.c.;P;Legumes;1,253476798912207;0,0000;0,0380;0,0190;0,0000;0,6040;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1600;0,0380;0,0000;0,0000;0,0000;0,0000;0,1420
14B;14;B;M.s.;P;Legumes;1,974611872141610;0,0000;0,1700;0,0960;0,0000;0,5210;0,0000;0,000;0,000;0,0000;0,0320;0,0000;0,0000;0,0000;0,0000;0,0530;0,0000;0,0000;0,0320;0,0000;0,0000;0,0960
15B;15;B;T.r.;P;Legumes;1,925895716106385;0,0000;0,0330;0,0000;0,0000;0,7380;0,0000;0,000;0,000;0,0000;0,0820;0,0000;0,0000;0,0000;0,0000;0,0330;0,0000;0,0000;0,0330;0,0330;0,0000;0,0490
17B;17;B;F.o.;P+L;Grass;1,728910878777228;0,0000;0,0380;0,0380;0,0000;0,6600;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0380;0,0570;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1700
18B;18;B;A.o.;P+L;Grass;2,820817890176982;0,0000;0,0000;0,0000;0,0000;0,9350;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0650;0,0000;0,0000;0,0000
19B;19;B;D.g.;P+L;Grass;6,945989844877399;0,0000;0,0330;0,0440;0,0000;0,7910;0,0000;0,000;0,000;0,0000;0,0110;0,0000;0,0000;0,0110;0,0000;0,0110;0,0000;0,0110;0,0000;0,0110;0,0000;0,0770
20B;20;B;H.l.;P+L;Grass;1,936557705976493;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
21B;21;B;G.v.;P+L;Forb;3,316957476948038;0,0000;0,0590;0,0000;0,0000;0,8820;0,0000;0,000;0,000;0,0000;0,0240;0,0000;0,0120;0,0000;0,0000;0,0000;0,0000;0,0000;0,0120;0,0120;0,0000;0,0000
23B;23;B;P.l.;P+L;Forb;2,449641106085760;0,0000;0,0000;0,0000;0,0000;0,9050;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0480;0,0000;0,0480
24B;24;B;C.n.;P+L;Forb;2,370076670618761;0,0000;0,0420;0,0000;0,0000;0,6670;0,0140;0,000;0,000;0,0000;0,0690;0,0000;0,0000;0,0000;0,1250;0,0000;0,0140;0,0140;0,0140;0,0000;0,0000;0,0420
25B;25;B;R.a.;P+L;Forb;1,511799768362789;0,0000;0,0520;0,0000;0,0000;0,9220;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0260;0,0000;0,0000;0,0000
26B;26;B;M.a.;P+L;Legumes;3,071004319903159;0,0340;0,2300;0,0230;0,0000;0,6320;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0230;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0570
27B;27;B;T.p.;P+L;Legumes;1,404609053671351;0,0000;0,0820;0,0410;0,0000;0,8160;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0610;0,0000;0,0000;0,0000
28B;28;B;L.c.;P+L;Legumes;2,727628103401029;0,0000;0,0900;0,0220;0,0000;0,7640;0,0000;0,000;0,000;0,0000;0,0340;0,0000;0,0000;0,0000;0,0000;0,0220;0,0000;0,0000;0,0450;0,0000;0,0000;0,0220
29B;29;B;M.s.;P+L;Legumes;2,503315541033743;0,0000;0,0630;0,0950;0,0000;0,7620;0,0480;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0160;0,0000;0,0000;0,0000;0,0160
30B;30;B;T.r.;P+L;Legumes;10,998876788158437;0,0000;0,0570;0,0000;0,0000;0,2390;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0230;0,0000;0,0000;0,0000;0,0000;0,0000;0,6700;0,0000;0,0000;0,0110
32B;32;B;F.o.;L;Grass;8,688663285159398;0,0000;0,0250;0,0000;0,0000;0,8125;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0125;0,1000;0,0000;0,0000;0,0125;0,0250;0,0000;0,0000;0,0125
33B;33;B;A.o.;L;Grass;1,691970073417761;0,0000;0,0125;0,0000;0,0000;0,7375;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0250;0,0000;0,0750;0,0000;0,0250;0,0000;0,0750;0,0000;0,0000;0,0500
34B;34;B;D.g.;L;Grass;2,686294479915251;0,0000;0,0500;0,0000;0,0000;0,7875;0,0125;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0250;0,0500;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0250
35B;35;B;H.l.;L;Grass;3,810597518655413;0,0125;0,0500;0,0250;0,0000;0,8250;0,0000;0,000;0,000;0,0000;0,0125;0,0000;0,0000;0,0125;0,0125;0,0000;0,0000;0,0000;0,0250;0,0000;0,0000;0,0250
36B;36;B;G.v.;L;Forb;3,788679245283019;0,0000;0,0000;0,0500;0,0000;0,8125;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0625;0,0000;0,0375;0,0000;0,0250;0,0000;0,0000;0,0125
38B;38;B;P.l.;L;Forb;1,296944084430839;0,0000;0,0333;0,0000;0,0999;0,7003;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0333;0,0000;0,0000;0,0000;0,0666;0,0000;0,0000;0,0666
39B;39;B;C.n.;L;Forb;5,908386391061476;0,0125;0,0125;0,0250;0,0000;0,6750;0,0250;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0500;0,1250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0250
40B;40;B;R.a.;L;Forb;2,288417267537052;0,0000;0,0750;0,0000;0,0000;0,8125;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0375;0,0000;0,0000;0,0000;0,0375;0,0000;0,0000;0,0375
41B;41;B;M.a.;L;Legumes;2,130009919233932;0,0000;0,0000;0,0090;0,0090;0,3430;0,0090;0,000;0,000;0,0000;0,1110;0,0000;0,0460;0,0000;0,3430;0,0190;0,0190;0,0090;0,0460;0,0000;0,0000;0,0370
41B;41;B;M.a.;L;Legumes;2,130009919233932;0,0000;0,0000;0,0090;0,0090;0,3430;0,0090;0,000;0,000;0,0000;0,1110;0,0000;0,0460;0,0000;0,3430;0,0190;0,0190;0,0090;0,0460;0,0000;0,0000;0,0370
42B;42;B;T.p.;L;Legumes;0,714310033374040;0,1000;0,0000;0,0000;0,0000;0,7000;0,0000;0,000;0,000;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000
43B;43;B;L.c.;L;Legumes;3,064281527227144;0,0000;0,0250;0,0125;0,0000;0,7000;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0250;0,2000;0,0000;0,0000;0,0000;0,0125;0,0000;0,0000;0,0250
44B;44;B;M.s.;L;Legumes;1,825349301123950;0,0000;0,0250;0,0250;0,0000;0,8500;0,0250;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0250
45B;45;B;T.r.;L;Legumes;4,176799998997568;0,0000;0,0500;0,0000;0,0000;0,8375;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0250;0,0250;0,0000;0,0000;0,0375;0,0000;0,0000;0,0250
46B;46;B; ;T;Temoins;3,609777046394569;0,0000;0,0000;0,0000;0,0000;0,9250;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0125;0,0125;0,0000;0,0375;0,0000;0,0125;0,0000;0,0000;0,0000
47B;47;B; ;T;Temoins;0,547428905385912;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
1C;1;C;N.s.;P;Grass;3,718406110245716;0,0000;0,0000;0,0000;0,0000;0,6150;0,0000;0,000;0,000;0,0000;0,0990;0,0000;0,0000;0,0000;0,0110;0,0000;0,0550;0,0000;0,1320;0,0110;0,0000;0,0770
2C;2;C;F.o.;P;Grass;19,690151904086004;0,0000;0,0110;0,0110;0,0000;0,8740;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0110;0,0000;0,0000;0,0340;0,0000;0,0000;0,0000;0,0340;0,0230
3C;3;C;A.o.;P;Grass;3,251199708100819;0,0000;0,0100;0,0000;0,0000;0,8450;0,0000;0,000;0,000;0,0000;0,0100;0,0000;0,0000;0,0210;0,0000;0,0000;0,0310;0,0000;0,0000;0,0000;0,0100;0,0720
4C;4;C;D.g.;P;Grass;6,151002786721920;0,0000;0,0230;0,0000;0,0000;0,7010;0,0000;0,034;0,034;0,0000;0,0340;0,0000;0,0000;0,0230;0,0000;0,0460;0,0230;0,0000;0,0340;0,0000;0,0000;0,0460
5C;5;C;H.l.;P;Grass;10,866137217236734;0,0000;0,0000;0,0000;0,0000;0,9430;0,0000;0,000;0,023;0,0000;0,0000;0,0000;0,0110;0,0000;0,0110;0,0000;0,0000;0,0000;0,0000;0,0110;0,0000;0,0000
6C;6;C;G.v.;P;Forb;25,690061834640147;0,0000;0,0000;0,0120;0,0000;0,7090;0,0000;0,000;0,000;0,0000;0,0120;0,0000;0,0000;0,0230;0,0120;0,0000;0,0000;0,0000;0,2210;0,0000;0,0000;0,0120
7C;7;C;C.r.;P;Forb;4,276345613345825;0,0000;0,0300;0,0300;0,0000;0,6930;0,0000;0,000;0,010;0,0000;0,0000;0,0000;0,0200;0,0690;0,0500;0,0200;0,0000;0,0100;0,0000;0,0400;0,0100;0,0200
8C;8;C;P.l.;P;Forb;3,980004457604993;0,0000;0,0100;0,0000;0,0000;0,9090;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0100;0,0400;0,0000;0,0000;0,0000;0,0100;0,0000;0,0000;0,0200
9C;9;C;C.n.;P;Forb;7,321059302248016;0,0000;0,0000;0,0500;0,0000;0,6000;0,0000;0,000;0,000;0,0000;0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0250;0,0000;0,0750;0,0000;0,0000;0,1750
10C;10;C;R.a.;P;Forb;3,689666063686221;0,0000;0,0100;0,0000;0,0000;0,7980;0,0190;0,000;0,000;0,0000;0,0190;0,0000;0,0000;0,0190;0,0000;0,0100;0,0380;0,0000;0,0290;0,0000;0,0000;0,0580
11C;11;C;M.a.;P;Legumes;2,863288451868820;0,0110;0,2580;0,0110;0,0000;0,5280;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,1350;0,0000;0,0000;0,0220;0,0000;0,0110;0,0000;0,0220;0,0000;0,0000
12C;12;C;T.p.;P;Legumes;5,783689994216310;0,0000;0,0090;0,0000;0,0000;0,8110;0,0090;0,009;0,000;0,0280;0,0190;0,0090;0,0090;0,0280;0,0090;0,0000;0,0000;0,0000;0,0280;0,0090;0,0000;0,0190
13C;13;C;L.c.;P;Legumes;1,749709520880323;0,0000;0,0220;0,0000;0,0000;0,6810;0,0000;0,000;0,000;0,0000;0,0550;0,0000;0,0000;0,0000;0,0440;0,0220;0,0000;0,0000;0,0220;0,0220;0,0000;0,1320
14C;14;C;M.s.;P;Legumes;1,821523787444733;0,0000;0,0000;0,0240;0,0000;0,7830;0,0000;0,000;0,000;0,0000;0,0240;0,0000;0,0120;0,0360;0,0120;0,0000;0,0360;0,0000;0,0000;0,0120;0,0000;0,0600
15C;15;C;T.r.;P;Legumes;6,880959402339528;0,0000;0,0100;0,0000;0,0000;0,8230;0,0000;0,010;0,000;0,0000;0,0100;0,0000;0,0000;0,0100;0,0310;0,0000;0,0100;0,0100;0,0000;0,0210;0,0000;0,0630
17C;17;C;F.o.;P+L;Grass;3,856703515917214;0,0000;0,0820;0,0310;0,0000;0,4950;0,0100;0,000;0,000;0,0000;0,0100;0,0000;0,1650;0,0100;0,0100;0,1240;0,0000;0,0000;0,0000;0,0210;0,0000;0,0410
