Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya.Ad,Lcya.Juv,Dorn.Ad,Dorn.Juv,Bhor.Ad,Bhor.Juv,Isp.Ad,Isp.Juv,Sele.Ad,Sele.Juv,Eniv.Ad,Eniv.Juv,Svir.Ad,Svir.Juv,Afus.Ad,Afus.Juv
15,A,P,Legumes,T.r.,8658.028904199105,51438.87760730057,3055.7749073643904,6111.549814728781,31576.340709432032,359.5628474332099,312.70763218695595,1527.8874536821952,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,4074.3665431525205,NA,NA,NA,NA
17,A,P+L,Grass,F.o.,12732.395447351626,12223.099629457562,8148.733086305041,12223.099629457562,NA,381.9718634205488,NA,3055.7749073643904,9167.324722093172,NA,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,3055.7749073643904,NA,NA,NA,NA
18,A,P+L,Grass,A.o.,8658.028904199105,36160.00307047862,1527.8874536821952,7639.437268410976,NA,449.19891138256537,NA,1018.5916357881301,8658.028904199105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,A,P+L,Grass,D.g.,3565.0707252584552,92182.54303882578,14769.578718927887,2037.1832715762603,96256.9095819783,318.30988618379064,402.8529919542055,1527.8874536821952,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,A,P+L,Grass,H.l.,5092.95817894065,95238.31794619016,7130.1414505169105,2037.1832715762603,61624.793965181874,203.71832715762602,329.5143941774601,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037.1832715762603,2037.1832715762603,NA,NA,NA,NA
21,A,P+L,Forb,G.v.,2546.479089470325,52966.76506098276,5092.95817894065,0,30048.45325574984,0,288.77072874593483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2546.479089470325,NA,NA,NA,NA,NA
23,A,P+L,Forb,P.l.,9167.324722093172,74357.1894125335,14260.282901033821,6620.845632622845,45836.62361046585,367.71158051951494,313.7262238227441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2546.479089470325,6620.845632622845,NA,NA,NA,NA
24,A,P+L,Forb,C.n.,1018.5916357881301,6111.549814728781,1527.8874536821952,1018.5916357881301,NA,509.29581789406507,NA,0,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,A,P+L,Forb,R.a.,3565.0707252584552,17316.05780839821,1018.5916357881301,3055.7749073643904,NA,436.46651593521375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3055.7749073643904,NA,NA,NA,NA
26,A,P+L,Legumes,M.a.,18843.945262080408,59587.61069360561,6620.845632622845,12732.395447351626,36669.29888837269,344.283972896388,313.21692800485,2037.1832715762603,3565.0707252584552,NA,NA,NA,NA,NA,NA,NA,NA,2037.1832715762603,9167.324722093172,NA,NA,NA,NA
27,A,P+L,Legumes,T.p.,15788.170354716016,88617.47231356731,10695.212175775367,19353.241079974472,48892.39851783025,429.84567030259086,281.1312914775239,3565.0707252584552,19353.241079974472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,A,P+L,Legumes,L.c.,5602.2539968347155,24446.199258915123,2546.479089470325,2546.479089470325,NA,231.72959714179962,NA,1018.5916357881301,2546.479089470325,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,NA,NA,NA
29,A,P+L,Legumes,M.s.,3565.0707252584552,19862.536897868536,5602.2539968347155,1527.8874536821952,NA,218.4879058765539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,A,P+L,Legumes,T.r.,3055.7749073643904,33613.52398100829,2037.1832715762603,1527.8874536821952,NA,254.64790894703253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1527.8874536821952,1527.8874536821952,NA,NA,NA,NA
32,A,L,Grass,F.o.,1018.5916357881301,5092.95817894065,4074.3665431525205,1018.5916357881301,NA,509.29581789406507,NA,0,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,A,L,Grass,A.o.,0,1527.8874536821952,3565.0707252584552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,A,L,Grass,D.g.,2037.1832715762603,104914.9384861774,3565.0707252584552,509.29581789406507,143112.12482823228,127.32395447351627,460.4034193762348,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA
35,A,L,Grass,H.l.,2546.479089470325,87598.88067777919,3055.7749073643904,2546.479089470325,58569.01905781748,509.29581789406507,340.7189021711295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2546.479089470325,NA,NA,NA,NA
36,A,L,Forb,G.v.,3055.7749073643904,175197.76135555838,12732.395447351626,2546.479089470325,196078.88988921503,424.24341630575617,417.11327485523924,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,NA,NA,2546.479089470325,NA,NA,NA,NA
38,A,L,Forb,P.l.,0,21390.424351550733,2546.479089470325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,A,L,Forb,C.n.,0,37687.890524160815,8658.028904199105,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,A,L,Forb,R.a.,509.29581789406507,2546.479089470325,5602.2539968347155,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,A,L,Legumes,M.a.,0,509.29581789406507,2037.1832715762603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,A,L,Legumes,T.p.,0,11713.803811563495,1018.5916357881301,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,A,L,Legumes,L.c.,4074.3665431525205,43290.14452099553,5092.95817894065,2037.1832715762603,NA,254.64790894703253,NA,NA,2037.1832715762603,NA,NA,NA,NA,NA,NA,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA
44,A,L,Legumes,M.s.,1527.8874536821952,72829.3019588513,8148.733086305041,1018.5916357881301,46345.91942835992,339.70031053534143,323.9121401806254,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA
45,A,L,Legumes,T.r.,1527.8874536821952,32085.6365273261,3055.7749073643904,1018.5916357881301,NA,339.70031053534143,NA,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA
46,A,T,Temoins, ,8148.733086305041,132416.9126524569,3565.0707252584552,2546.479089470325,200662.55225026162,159.40959100084237,484.8496186351499,NA,NA,NA,NA,NA,NA,NA,NA,3565.0707252584552,1018.5916357881301,2037.1832715762603,1527.8874536821952,NA,NA,NA,NA
47,A,T,Temoins, ,509.29581789406507,3055.7749073643904,509.29581789406507,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B,P,Grass,N.s.,1527.8874536821952,0,0,0,NA,0,NA,1018.5916357881301,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,B,P,Grass,F.o.,6111.549814728781,4074.3665431525205,1527.8874536821952,5092.95817894065,NA,424.24341630575617,NA,1018.5916357881301,5092.95817894065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,B,P,Grass,A.o.,9167.324722093172,35141.41143469049,509.29581789406507,10185.9163578813,NA,407.43665431525204,NA,NA,2546.479089470325,NA,NA,NA,NA,NA,NA,NA,NA,2546.479089470325,7639.437268410976,NA,NA,NA,NA
4,B,P,Grass,D.g.,11204.507993669431,6111.549814728781,30557.749073643903,7639.437268410976,NA,347.3397478037524,NA,509.29581789406507,1018.5916357881301,NA,NA,NA,NA,1018.5916357881301,509.29581789406507,NA,NA,2037.1832715762603,6111.549814728781,NA,NA,NA,NA
5,B,P,Grass,H.l.,12732.395447351626,20371.8327157626,2546.479089470325,8148.733086305041,NA,325.9493234522016,NA,4074.3665431525205,7130.1414505169105,NA,NA,509.29581789406507,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,B,P,Forb,G.v.,0,3055.7749073643904,1527.8874536821952,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,B,P,Forb,C.r.,0,509.29581789406507,2037.1832715762603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,B,P,Forb,P.l.,11204.507993669431,2546.479089470325,3055.7749073643904,6620.845632622845,NA,300.9938283753924,NA,2546.479089470325,5092.95817894065,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,1527.8874536821952,1527.8874536821952,NA,NA,NA,NA
9,B,P,Forb,C.n.,3565.0707252584552,11204.507993669431,4074.3665431525205,1018.5916357881301,NA,145.65860391770258,NA,2546.479089470325,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,B,P,Forb,R.a.,2037.1832715762603,1018.5916357881301,3055.7749073643904,0,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,B,P,Legumes,M.a.,5092.95817894065,7639.437268410976,5602.2539968347155,4074.3665431525205,NA,407.43665431525204,NA,1018.5916357881301,3055.7749073643904,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA,NA,NA
12,B,P,Legumes,T.p.,509.29581789406507,0,6111.549814728781,509.29581789406507,NA,509.29581789406507,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,B,P,Legumes,L.c.,2546.479089470325,1018.5916357881301,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,B,P,Legumes,M.s.,3565.0707252584552,1018.5916357881301,5092.95817894065,3055.7749073643904,NA,436.46651593521375,NA,509.29581789406507,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA
15,B,P,Legumes,T.r.,509.29581789406507,1018.5916357881301,2546.479089470325,509.29581789406507,NA,509.29581789406507,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,B,P+L,Grass,F.o.,3055.7749073643904,20881.128533656665,1018.5916357881301,2037.1832715762603,NA,339.70031053534143,NA,1018.5916357881301,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,B,P+L,Grass,A.o.,10695.212175775367,2037.1832715762603,3565.0707252584552,5602.2539968347155,NA,266.8710085764901,NA,1527.8874536821952,4583.662361046586,NA,NA,NA,NA,NA,NA,NA,NA,3565.0707252584552,1018.5916357881301,NA,NA,NA,NA
19,B,P+L,Grass,D.g.,8658.028904199105,4583.662361046586,3565.0707252584552,6620.845632622845,NA,389.6113006889598,NA,1527.8874536821952,4074.3665431525205,NA,NA,NA,NA,509.29581789406507,2546.479089470325,NA,NA,NA,NA,NA,NA,NA,NA
20,B,P+L,Grass,H.l.,6620.845632622845,26992.67834838545,2037.1832715762603,1527.8874536821952,NA,117.64733393352903,NA,2546.479089470325,1527.8874536821952,NA,NA,NA,NA,1018.5916357881301,NA,NA,NA,1527.8874536821952,NA,NA,NA,NA,NA
21,B,P+L,Forb,G.v.,0,43799.440338889595,5092.95817894065,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,B,P+L,Forb,P.l.,9167.324722093172,37687.890524160815,3055.7749073643904,8148.733086305041,NA,452.76398210782384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,B,P+L,Forb,C.n.,3055.7749073643904,10695.212175775367,6111.549814728781,509.29581789406507,NA,85.05240158830887,NA,2546.479089470325,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,B,P+L,Forb,R.a.,9676.620539987236,28011.269984173578,10695.212175775367,5602.2539968347155,NA,375.3510177879259,NA,3055.7749073643904,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,1018.5916357881301,4583.662361046586,NA,NA,NA,NA
26,B,P+L,Legumes,M.a.,12223.099629457562,84543.1057704148,10695.212175775367,10185.9163578813,54494.65251466496,339.70031053534143,328.495802541672,2037.1832715762603,10185.9163578813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,B,P+L,Legumes,T.p.,10185.9163578813,93710.43049250796,10185.9163578813,16297.466172610082,94729.0221282961,494.01694335724306,396.2321463215826,509.29581789406507,15788.170354716016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,B,P+L,Legumes,L.c.,8148.733086305041,85561.69740620293,2037.1832715762603,7639.437268410976,58569.01905781748,477.719477184633,348.8676352574346,509.29581789406507,7639.437268410976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,B,P+L,Legumes,M.s.,2037.1832715762603,62134.089783075935,3565.0707252584552,2037.1832715762603,43290.14452099553,509.29581789406507,354.9791850721633,NA,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,B,P+L,Legumes,T.r.,8658.028904199105,109498.60084722399,1527.8874536821952,8148.733086305041,146167.89973559667,479.24736463831516,455.31046119729416,509.29581789406507,8148.733086305041,NA,NA,NA,NA,NA,NA,NA,NA,NA,4583.662361046586,NA,NA,NA,NA
32,B,L,Grass,F.o.,509.29581789406507,509.29581789406507,0,509.29581789406507,NA,509.29581789406507,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,B,L,Grass,A.o.,0,15788.170354716016,1018.5916357881301,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,B,L,Grass,D.g.,4074.3665431525205,45836.62361046585,1527.8874536821952,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,B,L,Grass,H.l.,1018.5916357881301,2037.1832715762603,0,1018.5916357881301,NA,509.29581789406507,NA,NA,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,B,L,Forb,G.v.,0,13241.69126524569,509.29581789406507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,B,L,Forb,P.l.,1527.8874536821952,5092.95817894065,0,1018.5916357881301,NA,339.70031053534143,NA,509.29581789406507,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,B,L,Forb,C.n.,509.29581789406507,1527.8874536821952,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,B,L,Forb,R.a.,0,9676.620539987236,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,B,L,Legumes,M.a.,509.29581789406507,2037.1832715762603,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,B,L,Legumes,T.p.,0,1018.5916357881301,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,B,L,Legumes,L.c.,1527.8874536821952,509.29581789406507,509.29581789406507,1018.5916357881301,NA,339.70031053534143,NA,509.29581789406507,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,B,L,Legumes,M.s.,1527.8874536821952,10695.212175775367,509.29581789406507,509.29581789406507,NA,169.59550735872367,NA,509.29581789406507,509.29581789406507,NA,NA,NA,NA,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA
45,B,L,Legumes,T.r.,509.29581789406507,509.29581789406507,1527.8874536821952,509.29581789406507,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA
46,B,T,Temoins, ,1527.8874536821952,8658.028904199105,509.29581789406507,1018.5916357881301,NA,339.70031053534143,NA,509.29581789406507,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,B,T,Temoins, ,509.29581789406507,1018.5916357881301,2037.1832715762603,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,NA
1,C,P,Grass,N.s.,0,18843.945262080408,2546.479089470325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,C,P,Grass,F.o.,0,8658.028904199105,0,0,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,C,P,Grass,A.o.,0,31067.044891537967,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,C,P,Grass,D.g.,6111.549814728781,36160.00307047862,1527.8874536821952,5092.95817894065,NA,424.24341630575617,NA,509.29581789406507,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,2037.1832715762603,NA,NA,NA,NA
5,C,P,Grass,H.l.,7130.1414505169105,22409.015987338862,4074.3665431525205,6111.549814728781,NA,436.46651593521375,NA,1018.5916357881301,6111.549814728781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,C,P,Forb,G.v.,2546.479089470325,103896.34685038927,1018.5916357881301,1527.8874536821952,89636.06394935545,305.577490736439,365.6743972479387,1018.5916357881301,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,C,P,Forb,C.r.,2037.1832715762603,8658.028904199105,509.29581789406507,1018.5916357881301,NA,254.64790894703253,NA,509.29581789406507,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,NA
8,C,P,Forb,P.l.,6111.549814728781,18843.945262080408,4583.662361046586,4583.662361046586,NA,381.9718634205488,NA,509.29581789406507,4583.662361046586,NA,NA,NA,NA,NA,NA,509.29581789406507,NA,509.29581789406507,NA,NA,NA,NA,NA
9,C,P,Forb,C.n.,10695.212175775367,70282.82286938098,2546.479089470325,10185.9163578813,46345.91942835992,484.8496186351499,335.62594399218887,509.29581789406507,10185.9163578813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,C,P,Forb,R.a.,0,3055.7749073643904,509.29581789406507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,C,P,Legumes,M.a.,1527.8874536821952,33613.52398100829,7639.437268410976,1018.5916357881301,NA,339.70031053534143,NA,509.29581789406507,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,C,P,Legumes,T.p.,2037.1832715762603,22409.015987338862,3055.7749073643904,1018.5916357881301,NA,254.64790894703253,NA,1018.5916357881301,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,C,P,Legumes,L.c.,4074.3665431525205,18843.945262080408,1018.5916357881301,2546.479089470325,NA,318.30988618379064,NA,1018.5916357881301,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,C,P,Legumes,M.s.,1018.5916357881301,21390.424351550733,1527.8874536821952,509.29581789406507,NA,254.64790894703253,NA,509.29581789406507,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,C,P,Legumes,T.r.,2037.1832715762603,3055.7749073643904,509.29581789406507,1018.5916357881301,NA,339.70031053534143,NA,1018.5916357881301,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,C,P+L,Grass,F.o.,1018.5916357881301,25974.086712597316,0,509.29581789406507,NA,254.64790894703253,NA,509.29581789406507,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,C,P+L,Grass,A.o.,9167.324722093172,10185.9163578813,2546.479089470325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,C,P+L,Grass,D.g.,8148.733086305041,16806.761990504147,2546.479089470325,5602.2539968347155,NA,350.3955227111167,NA,2037.1832715762603,3565.0707252584552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,2037.1832715762603
20,C,P+L,Grass,H.l.,5602.2539968347155,84033.80995252074,3055.7749073643904,3565.0707252584552,53476.06087887683,323.9121401806254,323.9121401806254,1527.8874536821952,3055.7749073643904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,509.29581789406507,NA,NA
21,C,P+L,Forb,G.v.,14260.282901033821,86580.28904199105,4583.662361046586,20881.128533656665,86070.993224097,474.66370227726867,393.17637141421824,1018.5916357881301,18843.945262080408,NA,NA,509.29581789406507,2037.1832715762603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,C,P+L,Forb,P.l.,10185.9163578813,65699.16050833439,11204.507993669431,13241.69126524569,40234.36961363114,441.5594741141544,311.6890405511678,1527.8874536821952,9167.324722093172,NA,NA,NA,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,2546.479089470325
24,C,P+L,Forb,C.n.,3055.7749073643904,23427.60762312699,509.29581789406507,3055.7749073643904,NA,509.29581789406507,NA,NA,3055.7749073643904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,C,P+L,Forb,R.a.,5092.95817894065,24446.199258915123,1527.8874536821952,3565.0707252584552,NA,356.5070725258455,NA,1527.8874536821952,3565.0707252584552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,C,P+L,Legumes,M.a.,6111.549814728781,103387.0510324952,8148.733086305041,3565.0707252584552,133435.50428824505,296.9194618322399,447.6710239288832,1527.8874536821952,2546.479089470325,NA,NA,NA,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,C,P+L,Legumes,T.p.,10695.212175775367,33613.52398100829,10185.9163578813,7639.437268410976,NA,363.63721397636243,NA,3055.7749073643904,7639.437268410976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,C,P+L,Legumes,L.c.,1527.8874536821952,51948.17342519463,509.29581789406507,1018.5916357881301,33104.228163114225,339.70031053534143,324.4214359985194,509.29581789406507,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
